LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,0.0,0.0,81.474,201.22,296.756,379.939,460.499,504.066,547.06,585.316,619.244,654.857,685.612,717.363,749.855,781.53,812.44,884.744,950.755,1032.089,1120.49,1189.164,1297.536,1379.814,1419.125,1506.098,1563.177
E01000002,0.0,0.0,206.074,419.216,590.569,741.898,889.149,967.475,1045.028,1114.595,1177.006,1242.282,1299.406,1358.216,1418.253,1476.925,1534.298,1670.866,1795.497,1949.118,2116.028,2245.746,2450.378,2605.792,2680.059,2844.294,2952.079
E01000003,0.0,0.0,57.77,131.791,186.591,233.284,277.976,301.204,324.004,344.545,363.107,382.403,399.533,417.11,434.966,452.466,469.629,511.425,549.582,596.599,647.695,687.396,750.036,797.603,820.339,870.609,903.601
E01000005,0.0,123.3,252.449,461.384,652.405,829.024,1005.162,1102.559,1200.237,1287.431,1364.55,1446.262,1515.907,1588.198,1662.506,1734.813,1805.211,1965.867,2112.503,2293.258,2489.651,2642.252,2883.039,3065.882,3153.239,3346.489,3473.29
E01000006,8.359,12.373,15.113,16.331,17.661,20.889,24.118,27.346,30.567,33.795,37.023,40.252,43.488,46.717,49.945,53.173,56.402,59.63,62.867,66.095,69.323,72.552,75.788,79.017,82.245,85.482,88.71
E01000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000008,273.196,286.8,294.57,295.409,296.322,318.485,340.648,362.811,384.918,407.081,429.244,451.407,473.625,495.788,517.951,540.114,562.276,584.439,606.658,628.82,650.983,673.146,695.364,717.527,739.69,761.908,784.071
E01000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000012,40.055,59.66,72.233,76.43,81.0,96.707,112.413,128.119,143.786,159.492,175.198,190.904,206.649,222.355,238.061,253.767,269.473,285.18,300.925,316.631,332.337,348.043,363.788,379.494,395.201,410.946,426.652
E01000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000016,9.705,10.115,12.039,15.708,19.633,23.52,27.407,31.294,35.172,39.059,42.946,46.834,50.731,54.618,58.505,62.392,66.28,70.167,74.064,77.951,81.838,85.726,89.623,93.51,97.397,101.294,105.181
E01000017,75.198,91.375,101.531,104.321,107.305,118.101,128.896,139.692,150.46,161.256,172.051,182.846,193.669,204.464,215.26,226.055,236.851,247.646,258.468,269.264,280.059,290.855,301.677,312.473,323.268,334.09,344.886
E01000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000030,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024,200.024
E01000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000032,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884,161.884
E01000033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000034,197.122,221.505,236.293,239.377,242.676,268.298,293.921,319.544,345.102,370.725,396.348,421.97,447.657,473.279,498.902,524.525,550.147,575.77,601.457,627.079,652.702,678.324,704.011,729.634,755.256,780.943,806.566
E01000035,140.656,175.599,212.869,252.014,293.885,352.994,412.104,471.213,530.175,589.284,648.394,707.503,766.76,825.869,884.979,944.088,1003.198,1062.307,1121.564,1180.674,1239.783,1298.892,1358.15,1417.259,1476.368,1535.625,1594.735
E01000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000040,122.046,141.037,152.242,154.194,156.321,174.474,192.626,210.779,228.886,247.038,265.191,283.344,301.541,319.694,337.846,355.999,374.151,392.304,410.502,428.654,446.807,464.959,483.157,501.31,519.462,537.66,555.813
E01000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E01000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
