CTY22CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E13000001,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,14.028,14.028,14.028,14.028,13.516,12.811,11.722,11.338,11.338,11.338,10.697,9.672,9.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E13000002,Non-renewable engines (Diesel) (non-CHP),Counterfactual,High,MW,0,14.85,29.7,44.55,40.283,33.284,23.897,19.459,19.459,18.776,13.997,4.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
